gm_naam,gwb_code_10,gwb_code_8,regio,recs,gwb_code,a_inw,a_man,p_man,a_vrouw,p_vrouw,a_00_14,p_00_14,a_15_24,p_15_24,a_25_44,p_25_44,a_45_64,p_45_64,a_65_oo,p_65_oo,a_ongeh,p_ongeh,a_gehuwd,p_gehuwd,a_gesch,p_gesch,a_verwed,p_verwed,a_w_all,p_w_all,a_nw_all,p_nw_all,a_marok,p_marok,a_antaru,p_antaru,a_suri,p_suri,a_tur,p_tur,a_ov_nw,p_ov_nw,a_hh,a_1p_hh,p_1p_hh,a_hh_z_k,p_hh_z_k,a_hh_m_k,p_hh_m_k,g_hhgro,bev_dich,a_woning,g_woz,p_1gezw,p_mgezw,p_bjj2k,p_bjo2k,a_bedv,a_bed_a,a_bed_bf,a_bed_gi,a_bed_hj,a_bed_kl,a_bed_mn,a_bed_ru,a_pau,a_lftj6j,a_lfto6j,a_bst_b,a_bst_nb,g_pau_hh,g_pau_km,a_bau,a_m2w,a_opp_ha,a_lan_ha,a_wat_ha,ste_mvs,ste_oad
Heerde,GM0246,246,Heerde,Gemeente,GM0246,18556,9140,49.3,9416,50.7,3099,16.7,1978,10.7,3883,20.9,5523,29.8,4073,21.9,7103,38.3,9369,50.5,923,5,1161,6.3,588,3.2,460,2.5,2,0,17,0.1,21,0.1,66,0.4,354,1.9,7518,1920,25.5,2766,36.8,2832,37.7,2.4,236,7803,248,82,18,87,13,1340,100,235,300,80,150,305,170,9640,2470,7165,7695,1940,1.3,122,1165,980,8042,7874,168,4,605
Heumen,GM0252,252,Heumen,Gemeente,GM0252,16360,8117,49.6,8243,50.4,2584,15.8,1881,11.5,2915,17.8,5363,32.8,3617,22.1,6781,41.4,7483,45.7,1193,7.3,903,5.5,1499,9.2,610,3.7,34,0.2,75,0.5,47,0.3,30,0.2,424,2.6,6913,1978,28.6,2341,33.9,2594,37.5,2.3,411,6991,259,84,16,86,14,1340,80,190,265,90,165,395,155,8280,2540,5735,6675,1605,1.2,208,815,650,4154,3982,171,4,783
Lochem,GM0262,262,Lochem,Gemeente,GM0262,33333,16433,49.3,16900,50.7,5061,15.2,3335,10,5859,17.6,10437,31.3,8641,25.9,13346,40,15627,46.9,2053,6.2,2307,6.9,1992,6,1448,4.3,323,1,65,0.2,72,0.2,349,1,639,1.9,14391,4268,29.7,5373,37.3,4750,33,2.3,156,14624,269,84,16,86,14,3355,450,370,670,180,420,905,360,18380,4990,13385,14460,3920,1.3,86,2120,2055,21594,21314,281,4,595
Maasdriel,GM0263,263,Maasdriel,Gemeente,GM0263,24084,12176,50.6,11908,49.4,4105,17,2683,11.1,5530,23,7510,31.2,4256,17.7,10499,43.6,10730,44.6,1450,6,1405,5.8,1728,7.2,644,2.7,132,0.5,24,0.1,63,0.3,19,0.1,406,1.7,9854,2685,27.2,3189,32.4,3980,40.4,2.4,364,9695,255,91,9,87,13,3000,290,700,660,190,285,600,270,13000,4040,8960,9700,3300,1.3,197,2845,1205,7546,6613,933,5,479
Nijkerk,GM0267,267,Nijkerk,Gemeente,GM0267,41199,20542,49.9,20657,50.1,7934,19.3,4781,11.6,9826,23.9,11313,27.5,7345,17.8,17692,42.9,19170,46.5,2344,5.7,1993,4.8,2217,5.4,2368,5.7,869,2.1,88,0.2,192,0.5,302,0.7,917,2.2,16594,4673,28.2,5210,31.4,6711,40.4,2.5,593,16131,257,83,17,80,20,4110,200,730,985,295,480,975,445,20140,6240,13900,16475,3665,1.2,290,3195,1825,7204,6942,262,3,1066
Nijmegen,GM0268,268,Nijmegen,Gemeente,GM0268,172064,82877,48.2,89187,51.8,24036,14,31898,18.5,47911,27.8,42650,24.8,25569,14.9,102739,59.7,48845,28.4,13546,7.9,6934,4,20537,11.9,22668,13.2,3662,2.1,2095,1.2,1566,0.9,5416,3.1,9929,5.8,93727,50989,54.4,21014,22.4,21724,23.2,1.8,3210,79593,189,53,47,86,14,12180,40,1395,2770,1215,965,3810,1980,64190,16635,47555,52330,11860,0.7,1197,5625,4440,5760,5361,399,2,2421
Oldebroek,GM0269,269,Oldebroek,Gemeente,GM0269,23104,11670,50.5,11434,49.5,4267,18.5,2870,12.4,5209,22.5,6710,29,4048,17.5,9317,40.3,11769,50.9,877,3.8,1141,4.9,713,3.1,454,2,7,0,31,0.1,28,0.1,20,0.1,368,1.6,8906,2143,24.1,3005,33.7,3758,42.2,2.6,237,9090,233,85,15,83,17,1935,205,595,380,120,165,320,155,11145,2900,8240,8745,2400,1.3,114,2110,1055,9884,9765,119,4,631
Putten,GM0273,273,Putten,Gemeente,GM0273,24516,12149,49.6,12367,50.4,4409,18,3064,12.5,5614,22.9,6737,27.5,4692,19.1,10154,41.4,11734,47.9,1337,5.5,1291,5.3,1345,5.5,673,2.7,69,0.3,27,0.1,44,0.2,87,0.4,446,1.8,9821,2773,28.2,3193,32.5,3855,39.3,2.5,288,9628,291,84,16,79,21,2550,280,520,560,145,310,510,225,11980,3210,8770,10090,1890,1.2,141,2215,975,8750,8521,229,4,880
Renkum,GM0274,274,Renkum,Gemeente,GM0274,31254,15184,48.6,16070,51.4,4704,15.1,2913,9.3,5703,18.2,9740,31.2,8194,26.2,12932,41.4,13540,43.3,2557,8.2,2225,7.1,2961,9.5,1635,5.2,75,0.2,113,0.4,149,0.5,322,1,976,3.1,14240,5158,36.2,4820,33.8,4262,29.9,2.1,680,14626,243,69,31,92,8,2750,30,300,505,185,395,975,360,15840,4715,11125,12965,2870,1.1,345,1220,1350,4723,4595,128,4,895
Rheden,GM0275,275,Rheden,Gemeente,GM0275,43824,21461,49,22363,51,6320,14.4,4802,11,9035,20.6,12636,28.8,11031,25.2,18678,42.6,18168,41.5,3652,8.3,3326,7.6,3942,9,3013,6.9,246,0.6,159,0.4,180,0.4,1016,2.3,1412,3.2,20807,8288,39.8,6518,31.3,6001,28.8,2,536,20970,199,74,26,93,7,3150,65,435,710,230,330,940,435,21035,5665,15370,17610,3425,1,257,1770,1795,8435,8177,258,3,1443
