gm_naam,gwb_code_10,gwb_code_8,regio,recs,gwb_code,a_inw,a_man,p_man,a_vrouw,p_vrouw,a_00_14,p_00_14,a_15_24,p_15_24,a_25_44,p_25_44,a_45_64,p_45_64,a_65_oo,p_65_oo,a_ongeh,p_ongeh,a_gehuwd,p_gehuwd,a_gesch,p_gesch,a_verwed,p_verwed,a_w_all,p_w_all,a_nw_all,p_nw_all,a_marok,p_marok,a_antaru,p_antaru,a_suri,p_suri,a_tur,p_tur,a_ov_nw,p_ov_nw,a_hh,a_1p_hh,p_1p_hh,a_hh_z_k,p_hh_z_k,a_hh_m_k,p_hh_m_k,g_hhgro,bev_dich,a_woning,g_woz,p_1gezw,p_mgezw,p_bjj2k,p_bjo2k,a_bedv,a_bed_a,a_bed_bf,a_bed_gi,a_bed_hj,a_bed_kl,a_bed_mn,a_bed_ru,a_pau,a_lftj6j,a_lfto6j,a_bst_b,a_bst_nb,g_pau_hh,g_pau_km,a_bau,a_m2w,a_opp_ha,a_lan_ha,a_wat_ha,ste_mvs,ste_oad
Bunschoten,GM0313,313,Bunschoten,Gemeente,GM0313,20823,10395,49.9,10428,50.1,4176,20.1,2779,13.3,5544,26.6,5139,24.7,3185,15.3,8754,42,10338,49.6,897,4.3,834,4,1043,5,935,4.5,38,0.2,44,0.2,33,0.2,407,2,413,2,7834,1895,24.2,2332,29.8,3607,46,2.6,684,8087,254,81,19,81,19,1970,65,365,675,90,225,350,200,8990,3400,5590,7770,1220,1.1,295,1580,530,3481,3044,437,3,1136
Eemnes,GM0317,317,Eemnes,Gemeente,GM0317,8877,4389,49.4,4488,50.6,1561,17.6,1010,11.4,1750,19.7,2854,32.2,1702,19.2,3918,44.1,3842,43.3,755,8.5,362,4.1,698,7.9,434,4.9,24,0.3,45,0.5,42,0.5,19,0.2,304,3.4,3702,1020,27.6,1159,31.3,1523,41.1,2.4,286,3665,289,91,9,74,26,1120,55,235,185,85,115,320,125,4890,1755,3130,4090,800,1.3,157,795,460,3370,3104,267,4,886
Houten,GM0321,321,Houten,Gemeente,GM0321,48765,24048,49.3,24717,50.7,10100,20.7,5509,11.3,11601,23.8,15431,31.6,6124,12.6,23142,47.5,20891,42.8,3025,6.2,1707,3.5,3517,7.2,3441,7.1,501,1,231,0.5,740,1.5,201,0.4,1768,3.6,19379,5044,26,5669,29.3,8666,44.7,2.5,885,19542,254,78,22,65,35,4370,145,455,705,465,460,1610,525,46945,33550,13395,25665,21280,2.4,852,5605,1700,5899,5507,391,3,1450
Leusden,GM0327,327,Leusden,Gemeente,GM0327,29309,14411,49.2,14898,50.8,5116,17.5,3142,10.7,6119,20.9,9166,31.3,5766,19.7,12409,42.3,13385,45.7,2058,7,1457,5,2318,7.9,1443,4.9,153,0.5,137,0.5,177,0.6,77,0.3,899,3.1,12456,3670,29.5,4159,33.4,4627,37.1,2.3,500,12425,264,82,18,87,13,2765,95,290,500,235,310,990,345,14620,4705,9915,12080,2540,1.2,249,1135,1455,5889,5861,28,3,1208
Lopik,GM0331,331,Lopik,Gemeente,GM0331,14156,7189,50.8,6967,49.2,2625,18.5,1947,13.8,3077,21.7,4307,30.4,2200,15.5,6534,46.2,6315,44.6,708,5,599,4.2,552,3.9,611,4.3,196,1.4,16,0.1,63,0.4,20,0.1,316,2.2,5408,1366,25.3,1663,30.8,2379,44,2.6,187,5488,268,87,13,86,14,1495,240,415,250,95,115,285,90,7030,2180,4855,5780,1250,1.3,93,1850,745,7898,7566,332,5,360
Montfoort,GM0335,335,Montfoort,Gemeente,GM0335,13783,6914,50.2,6869,49.8,2684,19.5,1666,12.1,3090,22.4,3894,28.3,2449,17.8,6358,46.1,6127,44.5,751,5.4,547,4,700,5.1,588,4.3,123,0.9,28,0.2,59,0.4,77,0.6,301,2.2,5494,1452,26.4,1763,32.1,2279,41.5,2.5,366,5572,257,86,14,89,11,1380,100,280,275,100,180,315,130,6535,2190,4350,5325,1215,1.2,174,1255,515,3820,3764,56,4,740
Renswoude,GM0339,339,Renswoude,Gemeente,GM0339,5051,2516,49.8,2535,50.2,1134,22.5,647,12.8,1257,24.9,1266,25.1,747,14.8,2239,44.3,2404,47.6,219,4.3,189,3.7,182,3.6,112,2.2,9,0.2,5,0.1,8,0.2,4,0.1,86,1.7,1871,429,22.9,607,32.4,835,44.6,2.7,274,1885,274,89,11,73,27,660,95,160,115,35,100,105,45,2500,725,1775,2050,450,1.3,136,710,235,1851,1842,9,5,450
Rhenen,GM0340,340,Rhenen,Gemeente,GM0340,19400,9560,49.3,9840,50.7,3639,18.8,2175,11.2,4300,22.2,5335,27.5,3951,20.4,8331,42.9,8814,45.4,1192,6.1,1063,5.5,1037,5.3,962,5,392,2,33,0.2,35,0.2,36,0.2,466,2.4,7896,2351,29.8,2586,32.8,2959,37.5,2.4,461,7755,240,80,20,85,15,1800,105,370,375,115,220,445,170,9560,2775,6785,7830,1730,1.2,227,1345,810,4376,4208,168,4,895
Soest,GM0342,342,Soest,Gemeente,GM0342,45487,22236,48.9,23251,51.1,7708,16.9,4921,10.8,9524,20.9,13372,29.4,9962,21.9,19608,43.1,19513,42.9,3640,8,2726,6,4009,8.8,5244,11.5,672,1.5,296,0.7,320,0.7,2278,5,1678,3.7,19996,6746,33.7,6264,31.3,6986,34.9,2.2,984,20282,266,65,35,92,8,4720,45,685,975,355,585,1540,540,22780,6955,15825,18830,3950,1.1,493,2330,1840,4643,4624,19,3,1458
Utrecht,GM0344,344,Utrecht,Gemeente,GM0344,338967,165359,48.8,173608,51.2,58949,17.4,55285,16.3,121022,35.7,69274,20.4,34437,10.2,217521,64.2,91484,27,20128,5.9,9834,2.9,37150,11,74572,22,29890,8.8,2676,0.8,7800,2.3,13834,4.1,20372,6,174765,91746,52.5,37506,21.5,45513,26,1.9,3600,149322,212,43,57,78,22,32255,80,2670,5390,4220,2315,11865,5715,131310,56185,75125,92875,38435,0.8,1395,15790,7590,9921,9415,506,1,3347
Veenendaal,GM0345,345,Veenendaal,Gemeente,GM0345,63816,31430,49.3,32386,50.7,12202,19.1,7924,12.4,16030,25.1,16986,26.6,10674,16.7,27966,43.8,28672,44.9,4102,6.4,3076,4.8,3748,5.9,7259,11.4,3491,5.5,344,0.5,315,0.5,725,1.1,2384,3.7,26362,8138,30.9,8106,30.7,10118,38.4,2.4,3275,26702,205,60,40,87,13,4960,35,755,1300,450,565,1300,550,29355,10455,18900,23605,5750,1.1,1507,3340,2060,1972,1948,24,2,2125
Woudenberg,GM0351,351,Woudenberg,Gemeente,GM0351,12550,6288,50.1,6262,49.9,2556,20.4,1531,12.2,2816,22.4,3320,26.5,2327,18.5,5511,43.9,5815,46.3,610,4.9,614,4.9,569,4.5,523,4.2,58,0.5,30,0.2,31,0.2,28,0.2,376,3,4807,1289,26.8,1514,31.5,2004,41.7,2.6,344,4893,270,83,17,80,20,1140,105,215,220,75,140,290,100,6155,1925,4230,5085,1075,1.3,169,1165,620,3682,3653,29,4,891
Wijk bij Duurstede,GM0352,352,Wijk bij Duurstede,Gemeente,GM0352,23384,11510,49.2,11874,50.8,3959,16.9,2740,11.7,4944,21.1,7754,33.2,3987,17.1,9978,42.7,10636,45.5,1751,7.5,1019,4.4,1509,6.5,1117,4.8,225,1,115,0.5,140,0.6,44,0.2,593,2.5,9773,2640,27,3336,34.1,3797,38.9,2.4,491,9857,249,83,17,88,12,2190,135,365,380,145,230,675,260,11720,3510,8210,9815,1905,1.2,246,1265,1085,5040,4762,278,3,1121
IJsselstein,GM0353,353,IJsselstein,Gemeente,GM0353,34101,16574,48.6,17527,51.4,6488,19,4052,11.9,8208,24.1,10079,29.6,5274,15.5,16182,47.5,13752,40.3,2692,7.9,1475,4.3,2453,7.2,4210,12.3,1404,4.1,249,0.7,981,2.9,371,1.1,1205,3.5,14132,4151,29.4,4024,28.5,5957,42.2,2.4,1616,14169,232,70,30,80,20,2815,50,420,530,250,355,910,305,14710,5505,9205,12235,2475,1,697,1305,1290,2168,2110,58,2,1820
Zeist,GM0355,355,Zeist,Gemeente,GM0355,62258,30203,48.5,32055,51.5,11063,17.8,7252,11.6,14274,22.9,17042,27.4,12627,20.3,30282,48.6,23580,37.9,4947,7.9,3449,5.5,6081,9.8,8320,13.4,3666,5.9,431,0.7,899,1.4,549,0.9,2775,4.5,28142,11502,40.9,7634,27.1,9006,32,2.1,1283,27957,284,55,45,90,10,5870,25,600,1080,460,805,2240,660,38690,19785,18905,25870,12820,1.4,798,3450,1830,4865,4851,14,2,1553
Nieuwegein,GM0356,356,Nieuwegein,Gemeente,GM0356,61749,30733,49.8,31016,50.2,9945,16.1,6758,10.9,15690,25.4,18281,29.6,11075,17.9,28292,45.8,25393,41.1,5340,8.6,2724,4.4,6232,10.1,9439,15.3,2263,3.7,599,1,2328,3.8,693,1.1,3556,5.8,28064,9875,35.2,8487,30.2,9702,34.6,2.2,2620,27799,198,63,37,93,7,4895,15,760,1090,625,385,1385,635,28180,9860,18320,23425,4755,1,1195,2810,2190,2565,2357,207,2,1892
Aalsmeer,GM0358,358,Aalsmeer,Gemeente,GM0358,31299,15477,49.4,15822,50.6,6027,19.3,3388,10.8,7389,23.6,8876,28.4,5619,18,14652,46.8,13228,42.3,1937,6.2,1482,4.7,3395,10.8,2264,7.2,423,1.4,114,0.4,431,1.4,104,0.3,1192,3.8,12831,3682,28.7,3801,29.6,5348,41.7,2.4,1555,12893,269,79,21,67,33,3360,135,450,905,265,460,800,355,16270,6030,10235,14070,2200,1.3,808,2145,1460,3229,2013,1216,4,901
Alkmaar,GM0361,361,Alkmaar,Gemeente,GM0361,107615,53266,49.5,54349,50.5,17399,16.2,11819,11,28449,26.4,30779,28.6,19169,17.8,52657,48.9,40005,37.2,9889,9.2,5064,4.7,10182,9.5,13083,12.2,1942,1.8,1177,1.1,1470,1.4,2666,2.5,5828,5.4,50431,19935,39.5,14169,28.1,16327,32.4,2.1,974,50346,183,64,36,88,12,9110,205,1555,2080,785,845,2295,1340,49775,16955,32820,39260,10515,1,451,6380,4420,11735,11046,689,2,2218
Amstelveen,GM0362,362,Amstelveen,Gemeente,GM0362,88602,42337,47.8,46265,52.2,15287,17.3,10607,12,22752,25.7,23163,26.1,16793,19,43687,49.3,33777,38.1,6443,7.3,4695,5.3,16768,18.9,18374,20.7,1292,1.5,758,0.9,2775,3.1,756,0.9,12793,14.4,42636,18606,43.6,10229,24,13801,32.4,2.1,2150,43045,261,47,53,88,12,7455,85,580,1480,790,1005,2630,885,38090,15975,22120,30575,7520,0.9,924,1910,2150,4408,4121,287,1,2550
Amsterdam,GM0363,363,Amsterdam,Gemeente,GM0363,833624,411608,49.4,422016,50.6,127224,15.3,108370,13,293154,35.2,204741,24.6,100135,12,531112,63.7,203974,24.5,73962,8.9,24576,2.9,140901,16.9,289823,34.8,75065,9,12227,1.5,66119,7.9,42622,5.1,93790,11.3,456462,251828,55.2,92709,20.3,111925,24.5,1.8,5042,424390,253,12,88,87,13,112520,105,7875,20075,14555,9875,38105,21925,231185,71105,160080,181515,49670,0.5,1398,23330,18320,21949,16533,5416,1,6011
Beemster,GM0370,370,Beemster,Gemeente,GM0370,8958,4469,49.9,4489,50.1,1444,16.1,1042,11.6,1790,20,2873,32.1,1809,20.2,4041,45.1,3921,43.8,525,5.9,471,5.3,532,5.9,300,3.3,22,0.2,12,0.1,45,0.5,20,0.2,201,2.2,3649,1009,27.7,1232,33.8,1408,38.6,2.4,127,3657,296,89,11,86,14,1070,180,180,170,70,115,240,115,4685,1440,3240,3755,930,1.3,66,1015,575,7207,7058,149,4,582
Bergen (NH.),GM0373,373,Bergen (NH.),Gemeente,GM0373,29943,14469,48.3,15474,51.7,3944,13.2,3024,10.1,4498,15,9430,31.5,9047,30.2,12095,40.4,13010,43.4,2687,9,2151,7.2,2747,9.2,970,3.2,21,0.1,82,0.3,86,0.3,29,0.1,752,2.5,13644,4901,35.9,4578,33.6,4165,30.5,2.1,308,14976,347,72,28,92,8,3215,125,465,765,170,475,795,415,15330,4320,11010,12790,2540,1.1,158,1620,1475,12023,9710,2313,4,793
Beverwijk,GM0375,375,Beverwijk,Gemeente,GM0375,40318,20029,49.7,20289,50.3,6751,16.7,4524,11.2,10790,26.8,11244,27.9,7009,17.4,19241,47.7,15222,37.8,3682,9.1,2173,5.4,4692,11.6,5500,13.6,441,1.1,176,0.4,344,0.9,2113,5.2,2426,6,18532,7142,38.5,4958,26.8,6432,34.7,2.1,2202,18846,176,55,45,82,18,3535,25,645,1210,250,315,700,395,17725,4990,12735,15285,2440,1,968,2725,1585,2009,1831,177,1,2686
Blaricum,GM0376,376,Blaricum,Gemeente,GM0376,9622,4658,48.4,4964,51.6,1571,16.3,877,9.1,1662,17.3,2927,30.4,2585,26.9,3777,39.3,4457,46.3,811,8.4,577,6,1080,11.2,652,6.8,149,1.5,36,0.4,64,0.7,42,0.4,361,3.8,4286,1330,31,1530,35.7,1426,33.3,2.2,863,4363,530,88,12,86,14,1245,10,125,190,85,235,450,150,5670,2020,3655,4715,960,1.3,509,385,330,1556,1115,441,4,957
Bloemendaal,GM0377,377,Bloemendaal,Gemeente,GM0377,22296,10692,48,11604,52,3892,17.5,2299,10.3,3282,14.7,6932,31.1,5891,26.4,9438,42.3,9794,43.9,1645,7.4,1419,6.4,2964,13.3,1006,4.5,34,0.2,123,0.6,110,0.5,60,0.3,679,3,9417,2995,31.8,3072,32.6,3350,35.6,2.3,561,9653,554,76,24,91,9,2565,10,175,380,135,530,1070,260,11765,3820,7945,10160,1605,1.2,296,510,720,4523,3972,550,3,1059
Castricum,GM0383,383,Castricum,Gemeente,GM0383,34604,16945,49,17659,51,5199,15,4131,11.9,6498,18.8,10561,30.5,8215,23.7,14935,43.2,15322,44.3,2282,6.6,2065,6,2403,6.9,1279,3.7,38,0.1,93,0.3,144,0.4,79,0.2,925,2.7,15092,4880,32.3,4946,32.8,5266,34.9,2.3,699,15459,255,78,22,88,12,2970,90,510,570,225,405,780,390,16070,4680,11390,13880,2190,1.1,325,1935,1805,6040,4951,1089,3,1330
Diemen,GM0384,384,Diemen,Gemeente,GM0384,26840,13166,49.1,13674,50.9,3960,14.8,4532,16.9,6956,25.9,7206,26.8,4186,15.6,14871,55.4,8700,32.4,2160,8,1109,4.1,3828,14.3,7406,27.6,865,3.2,580,2.2,2342,8.7,736,2.7,2883,10.7,13508,6384,47.3,3050,22.6,4074,30.2,2,2238,13216,198,41,59,89,11,2305,5,300,465,305,235,685,310,9480,3435,6045,7950,1530,0.7,791,1100,790,1404,1199,205,2,2434
Edam-Volendam,GM0385,385,Edam-Volendam,Gemeente,GM0385,35465,17692,49.9,17773,50.1,6107,17.2,4375,12.3,7930,22.4,10320,29.1,6733,19,15570,43.9,16256,45.8,1956,5.5,1683,4.7,1521,4.3,1439,4.1,393,1.1,45,0.1,125,0.4,49,0.1,827,2.3,14433,3918,27.1,4626,32.1,5889,40.8,2.4,652,14939,232,86,14,85,15,3870,95,1350,740,150,495,675,370,14040,5350,8690,11865,2175,1,258,3040,1045,8000,5436,2564,3,1292
Enkhuizen,GM0388,388,Enkhuizen,Gemeente,GM0388,18455,9308,50.4,9147,49.6,2997,16.2,2023,11,4510,24.4,5339,28.9,3586,19.4,8235,44.6,7597,41.2,1676,9.1,947,5.1,1623,8.8,1200,6.5,129,0.7,49,0.3,110,0.6,344,1.9,568,3.1,8459,3057,36.1,2624,31,2778,32.8,2.2,1455,8642,177,73,27,83,17,1660,30,395,410,130,150,335,210,7645,2060,5580,6320,1325,0.9,603,950,735,11625,1268,10356,3,1382
Haarlem,GM0392,392,Haarlem,Gemeente,GM0392,158140,77397,48.9,80743,51.1,26943,17,16472,10.4,46198,29.2,42100,26.6,26427,16.7,85407,54,51645,32.7,13707,8.7,7381,4.7,19706,12.5,23571,14.9,5178,3.3,1056,0.7,2175,1.4,6521,4.1,8641,5.5,76564,33687,44,19124,25,23753,31,2,5422,73674,228,51,49,92,8,15740,25,2150,3065,1470,1340,5240,2450,59805,17065,42740,51340,8465,0.8,2050,5385,5350,3209,2917,292,1,3465
Haarlemmerliede en Spaarnwoude,GM0393,393,Haarlemmerliede en Spaarnwoude,Gemeente,GM0393,5578,2757,49.4,2821,50.6,836,15,731,13.1,1155,20.7,1867,33.5,989,17.7,2602,46.6,2387,42.8,377,6.8,212,3.8,475,8.5,356,6.4,24,0.4,9,0.2,90,1.6,25,0.4,208,3.7,2373,693,29.2,740,31.2,940,39.6,2.3,290,2281,267,77,23,92,8,650,15,115,120,60,85,165,90,2900,1020,1875,2430,470,1.2,151,340,385,2119,1922,197,4,629
Haarlemmermeer,GM0394,394,Haarlemmermeer,Gemeente,GM0394,144518,71827,49.7,72691,50.3,26702,18.5,17110,11.8,35002,24.2,43245,29.9,22459,15.5,68255,47.2,59812,41.4,10648,7.4,5803,4,15745,10.9,20162,14,3221,2.2,1141,0.8,4574,3.2,2129,1.5,9097,6.3,60211,18113,30.1,16697,27.7,25401,42.2,2.4,811,59699,248,74,26,74,26,14765,355,2090,3365,1705,1765,4070,1420,104295,60095,44200,72995,31300,1.7,585,17255,6525,18513,17829,684,2,1547
Heemskerk,GM0396,396,Heemskerk,Gemeente,GM0396,39299,19298,49.1,20001,50.9,6090,15.5,4725,12,8490,21.6,11790,30,8204,20.9,16984,43.2,16645,42.4,3301,8.4,2369,6,3656,9.3,3846,9.8,298,0.8,149,0.4,351,0.9,1057,2.7,1991,5.1,17330,5786,33.4,5298,30.6,6246,36,2.2,1444,17457,213,66,34,81,19,2500,80,435,600,180,275,605,315,18020,5585,12435,15945,2070,1,662,1605,1700,3168,2722,446,2,2317
Heemstede,GM0397,397,Heemstede,Gemeente,GM0397,26766,12517,46.8,14249,53.2,4715,17.6,2357,8.8,4815,18,7811,29.2,7068,26.4,11647,43.5,11097,41.5,2179,8.1,1843,6.9,3337,12.5,1552,5.8,138,0.5,107,0.4,196,0.7,116,0.4,995,3.7,11843,4256,35.9,3545,29.9,4042,34.1,2.2,2916,12520,379,65,35,90,10,2770,10,240,530,180,440,1100,265,12985,4375,8610,11345,1645,1.1,1415,700,760,964,918,46,2,1736
Heerhugowaard,GM0398,398,Heerhugowaard,Gemeente,GM0398,53927,27096,50.2,26831,49.8,10300,19.1,6178,11.5,14176,26.3,14262,26.4,9011,16.7,25671,47.6,22308,41.4,3879,7.2,2069,3.8,4637,8.6,5916,11,717,1.3,594,1.1,854,1.6,1137,2.1,2614,4.8,22336,6649,29.8,6698,30,8989,40.2,2.4,1409,22311,197,79,21,75,25,3895,125,765,895,325,405,910,470,24635,7375,17260,20455,4180,1.1,643,2850,2495,3999,3828,171,2,1676
Heiloo,GM0399,399,Heiloo,Gemeente,GM0399,22689,11194,49.3,11495,50.7,3593,15.8,2328,10.3,4036,17.8,6836,30.1,5896,26,9439,41.6,10164,44.8,1619,7.1,1467,6.5,1750,7.7,941,4.1,42,0.2,94,0.4,96,0.4,20,0.1,689,3,9954,3283,33,3395,34.1,3276,32.9,2.2,1213,10233,281,75,25,88,12,1925,35,260,380,140,255,615,240,10610,3080,7530,9050,1565,1.1,567,920,965,1901,1870,31,3,1280
Den Helder,GM0400,400,Den Helder,Gemeente,GM0400,56275,27854,49.5,28421,50.5,8411,14.9,6334,11.3,12950,23,16915,30.1,11665,20.7,24113,42.8,23148,41.1,5721,10.2,3293,5.9,5472,9.7,5386,9.6,151,0.3,1297,2.3,730,1.3,245,0.4,2963,5.3,26485,10176,38.4,8078,30.5,8231,31.1,2.1,1248,27939,142,73,27,92,8,2830,85,495,785,210,250,565,435,24050,7080,16970,20655,3400,0.9,533,2125,2420,17880,4510,13370,2,1701
Hilversum,GM0402,402,Hilversum,Gemeente,GM0402,87830,42954,48.9,44876,51.1,15043,17.1,9413,10.7,22950,26.1,23726,27,16698,19,43738,49.8,31971,36.4,7411,8.4,4710,5.4,11284,12.8,11284,12.8,2694,3.1,557,0.6,734,0.8,2437,2.8,4862,5.5,41554,17331,41.7,11039,26.6,13184,31.7,2.1,1926,41123,251,60,40,91,9,9695,15,1250,1685,1275,915,3260,1290,41395,13670,27725,31455,9940,1,908,4995,2990,4635,4561,73,1,2630
Hoorn,GM0405,405,Hoorn,Gemeente,GM0405,72172,35550,49.3,36622,50.7,12595,17.5,8341,11.6,18609,25.8,20070,27.8,12557,17.4,34995,48.5,27270,37.8,6664,9.2,3243,4.5,6269,8.7,9926,13.8,1352,1.9,965,1.3,2075,2.9,1622,2.2,3912,5.4,32417,11580,35.7,9058,27.9,11779,36.3,2.2,3544,32423,181,72,28,85,15,5680,30,1125,1355,470,505,1415,780,31145,10420,20725,25315,5830,1,1529,5225,2670,5346,2036,3309,2,1657
Huizen,GM0406,406,Huizen,Gemeente,GM0406,41373,20048,48.5,21325,51.5,6791,16.4,4505,10.9,8438,20.4,13142,31.8,8497,20.5,17664,42.7,17895,43.3,3664,8.9,2150,5.2,4075,9.8,4136,10,1395,3.4,168,0.4,318,0.8,644,1.6,1611,3.9,18115,6035,33.3,5563,30.7,6517,36,2.2,2618,18592,261,73,27,90,10,4050,20,650,750,355,545,1245,490,20930,7590,13340,17325,3610,1.2,1324,1795,1630,2332,1581,752,2,1946
Landsmeer,GM0415,415,Landsmeer,Gemeente,GM0415,10977,5280,48.1,5697,51.9,1793,16.3,1184,10.8,2260,20.6,3466,31.6,2274,20.7,4920,44.8,4697,42.8,775,7.1,585,5.3,972,8.9,706,6.4,55,0.5,25,0.2,191,1.7,44,0.4,391,3.6,4720,1364,28.9,1502,31.8,1854,39.3,2.3,487,4668,287,86,14,85,15,1265,35,215,210,110,185,345,165,5315,1925,3390,4530,785,1.1,236,630,570,2650,2253,398,4,984
Langedijk,GM0416,416,Langedijk,Gemeente,GM0416,27447,13630,49.7,13817,50.3,4895,17.8,3291,12,6130,22.3,8142,29.7,4989,18.2,12484,45.5,11955,43.6,1808,6.6,1200,4.4,1643,6,1280,4.7,275,1,111,0.4,114,0.4,66,0.2,714,2.6,11280,3016,26.7,3724,33,4540,40.2,2.4,1149,11295,237,84,16,77,23,2330,65,515,470,130,290,590,270,13400,3590,9815,11150,2255,1.2,561,1790,1595,2703,2390,313,4,905
Laren,GM0417,417,Laren,Gemeente,GM0417,10956,5155,47.1,5801,52.9,1735,15.8,894,8.2,1650,15.1,3286,30,3391,31,4225,38.6,4725,43.1,1048,9.6,958,8.7,1512,13.8,530,4.8,30,0.3,51,0.5,55,0.5,27,0.2,367,3.3,4909,1809,36.9,1560,31.8,1540,31.4,2.1,883,5181,542,83,17,90,10,1770,5,140,335,115,365,640,170,6315,2125,4195,5295,1025,1.3,509,385,405,1241,1241,0,3,1066
Medemblik,GM0420,420,Medemblik,Gemeente,GM0420,43725,22249,50.9,21476,49.1,7577,17.3,5080,11.6,9706,22.2,12991,29.7,8371,19.1,19811,45.3,18969,43.4,2811,6.4,2134,4.9,3236,7.4,1731,4,54,0.1,151,0.3,195,0.4,431,1,900,2.1,18153,5333,29.4,5947,32.8,6873,37.9,2.4,360,18402,213,87,13,84,16,4370,500,1120,835,240,425,825,430,21830,5825,16010,17375,4455,1.2,180,4915,2525,25756,12145,13611,4,512
Oostzaan,GM0431,431,Oostzaan,Gemeente,GM0431,9504,4635,48.8,4869,51.2,1525,16,1141,12,2023,21.3,2932,30.9,1883,19.8,4155,43.7,4219,44.4,621,6.5,509,5.4,618,6.5,568,6,47,0.5,17,0.2,106,1.1,110,1.2,288,3,4001,1087,27.2,1281,32,1633,40.8,2.4,824,4048,262,83,17,86,14,840,15,160,170,85,105,200,95,4595,1700,2895,3965,630,1.1,399,580,600,1608,1153,455,3,1061
Opmeer,GM0432,432,Opmeer,Gemeente,GM0432,11336,5724,50.5,5612,49.5,1904,16.8,1435,12.7,2478,21.9,3308,29.2,2211,19.5,5213,46,4905,43.3,616,5.4,602,5.3,513,4.5,282,2.5,19,0.2,26,0.2,48,0.4,5,0,184,1.6,4645,1342,28.9,1485,32,1818,39.1,2.4,273,4680,229,86,14,85,15,1145,125,335,225,50,100,195,115,5905,1365,4540,4850,1055,1.3,142,1090,800,4194,4152,43,4,501
Ouder-Amstel,GM0437,437,Ouder-Amstel,Gemeente,GM0437,13411,6528,48.7,6883,51.3,2385,17.8,1388,10.3,2781,20.7,4140,30.9,2717,20.3,6515,48.6,5188,38.7,970,7.2,738,5.5,1638,12.2,1557,11.6,122,0.9,87,0.6,445,3.3,70,0.5,833,6.2,5935,2122,35.8,1639,27.6,2174,36.6,2.2,557,5851,300,63,37,91,9,1795,45,185,340,245,240,560,180,6245,2450,3795,5125,1120,1.1,259,800,495,2578,2408,171,3,1233
Purmerend,GM0439,439,Purmerend,Gemeente,GM0439,79889,38980,48.8,40909,51.2,12420,15.5,9602,12,19030,23.8,24105,30.2,14732,18.4,36542,45.7,31952,40,7193,9,4202,5.3,7147,8.9,12803,16,1311,1.6,834,1,3765,4.7,1066,1.3,5827,7.3,35558,12028,33.8,9986,28.1,13544,38.1,2.2,3444,35581,185,67,33,82,18,5240,5,905,1290,525,490,1305,720,41765,19940,21820,32000,9765,1.2,1801,5575,3160,2456,2319,137,2,2171
Schagen,GM0441,441,Schagen,Gemeente,GM0441,46159,23086,50,23073,50,7492,16.2,5280,11.4,9769,21.2,13481,29.2,10137,22,20450,44.3,19826,43,3408,7.4,2475,5.4,3163,6.9,1689,3.7,37,0.1,144,0.3,218,0.5,61,0.1,1229,2.7,20005,6349,31.7,6637,33.2,7019,35.1,2.3,275,19814,219,85,15,84,16,4480,495,945,965,235,455,895,485,23350,6125,17225,19010,4340,1.2,139,3975,2825,18728,16773,1955,4,713
Texel,GM0448,448,Texel,Gemeente,GM0448,13574,6741,49.7,6833,50.3,1956,14.4,1487,11,2634,19.4,4405,32.5,3092,22.8,5649,41.6,6069,44.7,1074,7.9,782,5.8,935,6.9,415,3.1,10,0.1,25,0.2,19,0.1,12,0.1,349,2.6,6227,2194,35.2,2171,34.9,1862,29.9,2.1,84,6470,262,82,18,88,12,1970,290,280,590,115,170,310,220,6800,1420,5380,5945,860,1.1,42,1960,820,46316,16218,30098,5,461
Uitgeest,GM0450,450,Uitgeest,Gemeente,GM0450,13360,6713,50.2,6647,49.8,2402,18,1639,12.3,3163,23.7,3982,29.8,2174,16.3,6296,47.1,5689,42.6,824,6.2,551,4.1,880,6.6,643,4.8,27,0.2,38,0.3,82,0.6,45,0.3,451,3.4,5542,1553,28,1715,30.9,2274,41,2.4,697,5548,240,81,19,80,20,1045,30,240,200,65,110,290,120,6190,2000,4190,5360,830,1.1,323,725,685,2229,1917,312,3,1087
Uithoorn,GM0451,451,Uithoorn,Gemeente,GM0451,29181,14385,49.3,14796,50.7,4991,17.1,3438,11.8,6889,23.6,8608,29.5,5255,18,13519,46.3,11870,40.7,2311,7.9,1481,5.1,3349,11.5,3381,11.6,780,2.7,156,0.5,592,2,142,0.5,1711,5.9,12729,4142,32.5,3647,28.7,4940,38.8,2.3,1601,12837,222,69,31,86,14,2575,130,370,560,220,320,675,295,14690,5625,9060,12645,2040,1.2,806,1555,1375,1942,1822,120,3,1432
Velsen,GM0453,453,Velsen,Gemeente,GM0453,67448,33444,49.6,34004,50.4,10640,15.8,8358,12.4,14780,21.9,20593,30.5,13077,19.4,30168,44.7,27640,41,5717,8.5,3923,5.8,6223,9.2,5561,8.2,741,1.1,240,0.4,424,0.6,1335,2,2821,4.2,30335,10731,35.4,8720,28.7,10884,35.9,2.2,1506,30603,218,62,38,91,9,5155,35,1095,1115,385,545,1355,625,31060,9765,21295,27450,3610,1,693,3365,3505,6317,4480,1837,2,1811
